YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2001,1,CA,"Combined Heat and Power, Electric Power",Other Biomass,"6,997"
2001,1,CA,"Combined Heat and Power, Electric Power",Other,68
2001,1,CA,"Combined Heat and Power, Electric Power",Total,"2,033,751"
2001,1,CA,"Combined Heat and Power, Commercial Power",Petroleum,107
2001,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas,"146,713"
2001,1,CA,"Combined Heat and Power, Commercial Power",Other Biomass,"16,366"
2001,1,CA,"Combined Heat and Power, Commercial Power",Total,"163,186"
2001,1,CA,"Combined Heat and Power, Industrial Power",Coal,"43,734"
2001,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,"57,555"
2001,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,"1,154,247"
2001,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,"97,496"
2001,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"113,549"
2001,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,"2,125"
2001,1,CA,"Combined Heat and Power, Industrial Power",Other,"1,355"
2001,1,CA,"Combined Heat and Power, Industrial Power",Total,"1,470,061"
2001,1,CO,Total Electric Power Industry,Coal,"3,245,939"
2001,1,CO,Total Electric Power Industry,Petroleum,"20,510"
2001,1,CO,Total Electric Power Industry,Natural Gas,"785,000"
2001,1,CO,Total Electric Power Industry,Hydroelectric Conventional,"111,346"
2001,1,CO,Total Electric Power Industry,Wind,"4,158"
2001,1,CO,Total Electric Power Industry,Other Biomass,"5,160"
2001,1,CO,Total Electric Power Industry,Pumped Storage,"-8,660"
2001,1,CO,Total Electric Power Industry,Other,0
2001,1,CO,Total Electric Power Industry,Total,"4,163,453"
2001,1,CO,"Electric Generators, Electric Utilities",Coal,"3,222,822"
2001,1,CO,"Electric Generators, Electric Utilities",Petroleum,"19,148"
2001,1,CO,"Electric Generators, Electric Utilities",Natural Gas,"316,815"
2001,1,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"109,628"
2001,1,CO,"Electric Generators, Electric Utilities",Wind,"4,158"
2001,1,CO,"Electric Generators, Electric Utilities",Other Biomass,0
2001,1,CO,"Electric Generators, Electric Utilities",Pumped Storage,"-8,660"
2001,1,CO,"Electric Generators, Electric Utilities",Other,0
2001,1,CO,"Electric Generators, Electric Utilities",Total,"3,663,911"
2001,1,CO,"Electric Generators, Independent Power Producers",Natural Gas,"227,251"
2001,1,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"1,718"
2001,1,CO,"Electric Generators, Independent Power Producers",Total,"228,969"
2001,1,CO,"Combined Heat and Power, Electric Power",Coal,"23,117"
2001,1,CO,"Combined Heat and Power, Electric Power",Petroleum,39
2001,1,CO,"Combined Heat and Power, Electric Power",Natural Gas,"221,956"
2001,1,CO,"Combined Heat and Power, Electric Power",Other Biomass,"2,500"
2001,1,CO,"Combined Heat and Power, Electric Power",Total,"247,612"
2001,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas,"14,017"
2001,1,CO,"Combined Heat and Power, Commercial Power",Other Biomass,"2,660"
2001,1,CO,"Combined Heat and Power, Commercial Power",Total,"16,677"
2001,1,CO,"Combined Heat and Power, Industrial Power",Petroleum,"1,323"
2001,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas,"4,961"
2001,1,CO,"Combined Heat and Power, Industrial Power",Total,"6,284"
2001,1,CT,Total Electric Power Industry,Coal,"327,541"
2001,1,CT,Total Electric Power Industry,Petroleum,"923,930"
2001,1,CT,Total Electric Power Industry,Natural Gas,"125,845"
2001,1,CT,Total Electric Power Industry,Other Gases,137
2001,1,CT,Total Electric Power Industry,Nuclear,"1,366,126"
2001,1,CT,Total Electric Power Industry,Hydroelectric Conventional,"37,537"
2001,1,CT,Total Electric Power Industry,Other Biomass,"74,757"
2001,1,CT,Total Electric Power Industry,Pumped Storage,0
2001,1,CT,Total Electric Power Industry,Other,"74,561"
2001,1,CT,Total Electric Power Industry,Total,"2,930,434"
2001,1,CT,"Electric Generators, Electric Utilities",Petroleum,"1,065"
2001,1,CT,"Electric Generators, Electric Utilities",Natural Gas,0
2001,1,CT,"Electric Generators, Electric Utilities",Nuclear,"1,366,126"
2001,1,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"14,562"
2001,1,CT,"Electric Generators, Electric Utilities",Other Biomass,"16,824"
2001,1,CT,"Electric Generators, Electric Utilities",Other,"12,691"
2001,1,CT,"Electric Generators, Electric Utilities",Total,"1,411,268"
2001,1,CT,"Electric Generators, Independent Power Producers",Coal,"201,266"
2001,1,CT,"Electric Generators, Independent Power Producers",Petroleum,"919,818"
2001,1,CT,"Electric Generators, Independent Power Producers",Natural Gas,"48,288"
2001,1,CT,"Electric Generators, Independent Power Producers",Other Gases,137
2001,1,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"22,975"
2001,1,CT,"Electric Generators, Independent Power Producers",Other Biomass,"57,934"
2001,1,CT,"Electric Generators, Independent Power Producers",Pumped Storage,0
2001,1,CT,"Electric Generators, Independent Power Producers",Other,"61,869"
2001,1,CT,"Electric Generators, Independent Power Producers",Total,"1,312,287"
2001,1,CT,"Combined Heat and Power, Electric Power",Coal,"126,275"
2001,1,CT,"Combined Heat and Power, Electric Power",Petroleum,336
2001,1,CT,"Combined Heat and Power, Electric Power",Natural Gas,"63,643"
2001,1,CT,"Combined Heat and Power, Electric Power",Total,"190,254"
2001,1,CT,"Combined Heat and Power, Commercial Power",Petroleum,340
2001,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas,"1,914"
2001,1,CT,"Combined Heat and Power, Commercial Power",Total,"2,254"
2001,1,CT,"Combined Heat and Power, Industrial Power",Petroleum,"2,371"
2001,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas,"12,000"
2001,1,CT,"Combined Heat and Power, Industrial Power",Total,"14,371"
2001,1,DC,Total Electric Power Industry,Petroleum,"9,251"
2001,1,DC,Total Electric Power Industry,Total,"9,251"
2001,1,DC,"Electric Generators, Independent Power Producers",Petroleum,"9,251"
2001,1,DC,"Electric Generators, Independent Power Producers",Total,"9,251"
2001,1,DE,Total Electric Power Industry,Coal,"474,117"
2001,1,DE,Total Electric Power Industry,Petroleum,"132,408"
2001,1,DE,Total Electric Power Industry,Natural Gas,"7,062"
2001,1,DE,Total Electric Power Industry,Other Gases,"12,552"
2001,1,DE,Total Electric Power Industry,Total,"626,139"
2001,1,DE,"Electric Generators, Electric Utilities",Coal,"347,571"
2001,1,DE,"Electric Generators, Electric Utilities",Petroleum,"24,897"
2001,1,DE,"Electric Generators, Electric Utilities",Natural Gas,650
2001,1,DE,"Electric Generators, Electric Utilities",Total,"373,118"
2001,1,DE,"Electric Generators, Independent Power Producers",Coal,"118,905"
2001,1,DE,"Electric Generators, Independent Power Producers",Petroleum,"80,021"
2001,1,DE,"Electric Generators, Independent Power Producers",Natural Gas,"6,412"
2001,1,DE,"Electric Generators, Independent Power Producers",Total,"205,338"
2001,1,DE,"Combined Heat and Power, Industrial Power",Coal,"7,641"
2001,1,DE,"Combined Heat and Power, Industrial Power",Petroleum,"27,490"
2001,1,DE,"Combined Heat and Power, Industrial Power",Other Gases,"12,552"
2001,1,DE,"Combined Heat and Power, Industrial Power",Total,"47,683"
2001,1,FL,Total Electric Power Industry,Coal,"6,721,861"
2001,1,FL,Total Electric Power Industry,Petroleum,"4,496,351"
2001,1,FL,Total Electric Power Industry,Natural Gas,"2,203,652"
2001,1,FL,Total Electric Power Industry,Other Gases,9
2001,1,FL,Total Electric Power Industry,Nuclear,"2,942,999"
2001,1,FL,Total Electric Power Industry,Hydroelectric Conventional,"7,830"
2001,1,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,"163,756"
2001,1,FL,Total Electric Power Industry,Other Biomass,"170,974"
2001,1,FL,Total Electric Power Industry,Other,"229,849"
2001,1,FL,Total Electric Power Industry,Total,"16,937,281"
2001,1,FL,"Electric Generators, Electric Utilities",Coal,"6,266,599"
2001,1,FL,"Electric Generators, Electric Utilities",Petroleum,"4,362,808"
2001,1,FL,"Electric Generators, Electric Utilities",Natural Gas,"1,660,211"
2001,1,FL,"Electric Generators, Electric Utilities",Nuclear,"2,942,999"
2001,1,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"7,830"
2001,1,FL,"Electric Generators, Electric Utilities",Other Biomass,"9,484"
2001,1,FL,"Electric Generators, Electric Utilities",Other,"1,390"
2001,1,FL,"Electric Generators, Electric Utilities",Total,"15,251,321"
2001,1,FL,"Electric Generators, Independent Power Producers",Petroleum,"106,294"
2001,1,FL,"Electric Generators, Independent Power Producers",Natural Gas,"80,070"
2001,1,FL,"Electric Generators, Independent Power Producers",Other Gases,9
2001,1,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"19,767"
2001,1,FL,"Electric Generators, Independent Power Producers",Other Biomass,"143,217"
2001,1,FL,"Electric Generators, Independent Power Producers",Other,"108,117"
2001,1,FL,"Electric Generators, Independent Power Producers",Total,"457,474"
2001,1,FL,"Combined Heat and Power, Electric Power",Coal,"426,506"
2001,1,FL,"Combined Heat and Power, Electric Power",Petroleum,0
2001,1,FL,"Combined Heat and Power, Electric Power",Natural Gas,"372,617"
2001,1,FL,"Combined Heat and Power, Electric Power",Other Biomass,480
2001,1,FL,"Combined Heat and Power, Electric Power",Other,362
2001,1,FL,"Combined Heat and Power, Electric Power",Total,"799,965"
2001,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas,"5,850"
2001,1,FL,"Combined Heat and Power, Commercial Power",Other Biomass,"3,918"
2001,1,FL,"Combined Heat and Power, Commercial Power",Total,"9,768"
2001,1,FL,"Combined Heat and Power, Industrial Power",Coal,"28,756"
2001,1,FL,"Combined Heat and Power, Industrial Power",Petroleum,"27,249"
2001,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas,"84,904"
2001,1,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"143,989"
2001,1,FL,"Combined Heat and Power, Industrial Power",Other Biomass,"13,875"
2001,1,FL,"Combined Heat and Power, Industrial Power",Other,"119,980"
2001,1,FL,"Combined Heat and Power, Industrial Power",Total,"418,753"
2001,1,GA,Total Electric Power Industry,Coal,"7,258,909"
2001,1,GA,Total Electric Power Industry,Petroleum,"217,585"
2001,1,GA,Total Electric Power Industry,Natural Gas,"77,667"
2001,1,GA,Total Electric Power Industry,Nuclear,"3,064,367"
2001,1,GA,Total Electric Power Industry,Hydroelectric Conventional,"239,920"
2001,1,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,"258,328"
2001,1,GA,Total Electric Power Industry,Other Biomass,"2,206"
2001,1,GA,Total Electric Power Industry,Pumped Storage,"-35,515"
2001,1,GA,Total Electric Power Industry,Other,615
2001,1,GA,Total Electric Power Industry,Total,"11,084,082"
2001,1,GA,"Electric Generators, Electric Utilities",Coal,"7,151,277"
2001,1,GA,"Electric Generators, Electric Utilities",Petroleum,"89,920"
2001,1,GA,"Electric Generators, Electric Utilities",Natural Gas,"1,913"
2001,1,GA,"Electric Generators, Electric Utilities",Nuclear,"3,064,367"
2001,1,GA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"237,618"
2001,1,GA,"Electric Generators, Electric Utilities",Pumped Storage,"-35,515"
2001,1,GA,"Electric Generators, Electric Utilities",Total,"10,509,580"
2001,1,GA,"Electric Generators, Independent Power Producers",Petroleum,"31,262"
2001,1,GA,"Electric Generators, Independent Power Producers",Natural Gas,"28,207"
2001,1,GA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,161
2001,1,GA,"Electric Generators, Independent Power Producers",Other Biomass,"1,420"
2001,1,GA,"Electric Generators, Independent Power Producers",Total,"61,050"
2001,1,GA,"Combined Heat and Power, Electric Power",Petroleum,"1,791"
2001,1,GA,"Combined Heat and Power, Electric Power",Natural Gas,"7,545"
2001,1,GA,"Combined Heat and Power, Electric Power",Total,"9,336"
2001,1,GA,"Combined Heat and Power, Commercial Power",Petroleum,358
2001,1,GA,"Combined Heat and Power, Commercial Power",Natural Gas,0
2001,1,GA,"Combined Heat and Power, Commercial Power",Total,358
2001,1,GA,"Combined Heat and Power, Industrial Power",Coal,"107,632"
2001,1,GA,"Combined Heat and Power, Industrial Power",Petroleum,"94,254"
2001,1,GA,"Combined Heat and Power, Industrial Power",Natural Gas,"40,002"
2001,1,GA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"2,141"
2001,1,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"258,328"
2001,1,GA,"Combined Heat and Power, Industrial Power",Other Biomass,786
2001,1,GA,"Combined Heat and Power, Industrial Power",Other,615
2001,1,GA,"Combined Heat and Power, Industrial Power",Total,"503,758"
2001,1,HI,Total Electric Power Industry,Coal,"134,161"
2001,1,HI,Total Electric Power Industry,Petroleum,"725,556"
2001,1,HI,Total Electric Power Industry,Natural Gas,0
2001,1,HI,Total Electric Power Industry,Other Gases,"3,980"
2001,1,HI,Total Electric Power Industry,Hydroelectric Conventional,"6,613"
2001,1,HI,Total Electric Power Industry,Wind,109
2001,1,HI,Total Electric Power Industry,Geothermal,"21,137"
2001,1,HI,Total Electric Power Industry,Other Biomass,"21,098"
2001,1,HI,Total Electric Power Industry,Other,"11,919"
2001,1,HI,Total Electric Power Industry,Total,"924,573"
2001,1,HI,"Electric Generators, Electric Utilities",Petroleum,"523,189"
2001,1,HI,"Electric Generators, Electric Utilities",Hydroelectric Conventional,373
2001,1,HI,"Electric Generators, Electric Utilities",Wind,108
2001,1,HI,"Electric Generators, Electric Utilities",Total,"523,670"
2001,1,HI,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"2,712"
2001,1,HI,"Electric Generators, Independent Power Producers",Wind,1
2001,1,HI,"Electric Generators, Independent Power Producers",Geothermal,"21,137"
2001,1,HI,"Electric Generators, Independent Power Producers",Other Biomass,"16,423"
2001,1,HI,"Electric Generators, Independent Power Producers",Other,"11,919"
2001,1,HI,"Electric Generators, Independent Power Producers",Total,"52,192"
2001,1,HI,"Combined Heat and Power, Electric Power",Coal,"129,926"
2001,1,HI,"Combined Heat and Power, Electric Power",Petroleum,"137,464"
2001,1,HI,"Combined Heat and Power, Electric Power",Natural Gas,0
2001,1,HI,"Combined Heat and Power, Electric Power",Total,"267,390"
2001,1,HI,"Combined Heat and Power, Industrial Power",Coal,"4,235"
2001,1,HI,"Combined Heat and Power, Industrial Power",Petroleum,"64,903"
2001,1,HI,"Combined Heat and Power, Industrial Power",Other Gases,"3,980"
2001,1,HI,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"3,528"
2001,1,HI,"Combined Heat and Power, Industrial Power",Other Biomass,"4,675"
2001,1,HI,"Combined Heat and Power, Industrial Power",Other,0
2001,1,HI,"Combined Heat and Power, Industrial Power",Total,"81,321"
2001,1,IA,Total Electric Power Industry,Coal,"3,230,308"
2001,1,IA,Total Electric Power Industry,Petroleum,"5,328"
2001,1,IA,Total Electric Power Industry,Natural Gas,"23,761"
2001,1,IA,Total Electric Power Industry,Nuclear,"382,045"
2001,1,IA,Total Electric Power Industry,Hydroelectric Conventional,"66,640"
2001,1,IA,Total Electric Power Industry,Wind,"43,633"
2001,1,IA,Total Electric Power Industry,Other Biomass,"8,997"
2001,1,IA,Total Electric Power Industry,Other,561
2001,1,IA,Total Electric Power Industry,Total,"3,761,273"
2001,1,IA,"Electric Generators, Electric Utilities",Coal,"3,120,288"
2001,1,IA,"Electric Generators, Electric Utilities",Petroleum,"4,051"
2001,1,IA,"Electric Generators, Electric Utilities",Natural Gas,"13,780"
2001,1,IA,"Electric Generators, Electric Utilities",Nuclear,"382,045"
2001,1,IA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"65,365"
2001,1,IA,"Electric Generators, Electric Utilities",Wind,"1,030"
2001,1,IA,"Electric Generators, Electric Utilities",Other Biomass,"2,996"
2001,1,IA,"Electric Generators, Electric Utilities",Other,561
2001,1,IA,"Electric Generators, Electric Utilities",Total,"3,590,116"
2001,1,IA,"Electric Generators, Independent Power Producers",Petroleum,709
2001,1,IA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"1,275"
2001,1,IA,"Electric Generators, Independent Power Producers",Wind,"42,603"
2001,1,IA,"Electric Generators, Independent Power Producers",Total,"44,587"
2001,1,IA,"Combined Heat and Power, Electric Power",Coal,"10,082"
2001,1,IA,"Combined Heat and Power, Electric Power",Other Biomass,"4,749"
2001,1,IA,"Combined Heat and Power, Electric Power",Total,"14,831"
2001,1,IA,"Combined Heat and Power, Commercial Power",Coal,"10,448"
2001,1,IA,"Combined Heat and Power, Commercial Power",Petroleum,501
2001,1,IA,"Combined Heat and Power, Commercial Power",Natural Gas,992
2001,1,IA,"Combined Heat and Power, Commercial Power",Other Biomass,"1,252"
2001,1,IA,"Combined Heat and Power, Commercial Power",Total,"13,193"
2001,1,IA,"Combined Heat and Power, Industrial Power",Coal,"89,490"
2001,1,IA,"Combined Heat and Power, Industrial Power",Petroleum,67
2001,1,IA,"Combined Heat and Power, Industrial Power",Natural Gas,"8,989"
2001,1,IA,"Combined Heat and Power, Industrial Power",Total,"98,546"
2001,1,ID,Total Electric Power Industry,Coal,"4,716"
